store	week	brand	sales_	count	price_	prom_	cost_
2	1	1	16	14181	3.29	0	2.06
2	2	1	12	13965	3.27	0	2.04
2	3	1	6	13538	3.37	0	2.15
2	4	1	12	13735	3.3	0	2.07
2	5	1	10	13735	3.34	0	2.12
2	6	1	13	14553	3.38	0	2.17
2	7	1	11	14229	3.32	0	2.1
2	8	1	9	13890	3.32	0	2.09
2	9	1	9	13890	3.32	0	2.09
2	10	1	8	15164	3.29	0	2.08
2	11	1	17	14136	3.31	0	2.13
2	12	1	10	14561	3.31	0	2.12
2	13	1	11	14692	3.3	0	2.12
2	14	1	16	15758	3.55	0	2.23
2	15	1	4	14936	3.43	0	2.11
2	16	1	10	15714	3.56	0	2.24
2	17	1	11	16886	3.53	0	2.24
2	18	1	11	14249	3.46	0	2.18
2	19	1	18	14713	2.53	.78	1.6
2	20	1	10	14637	3.58	0	2.3
2	21	1	8	16514	3.55	0	2.27
2	22	1	13	14514	3.5	0	2.21
2	23	1	9	14701	3.49	0	2.15
2	24	1	10	14854	3.51	0	2.2
2	25	1	10	15918	3.47	0	2.19
2	26	1	9	13834	3.54	0	2.28
2	27	1	6	13259	3.48	0	2.19
2	28	1	6	13259	3.48	0	2.19
2	29	1	5	13508	3.56	0	2.32
2	30	1	9	13798	3.61	0	2.34
2	31	1	4	13108	3.51	0	2.24
2	32	1	12	12993	3.52	0	2.24
2	33	1	6	13991	3.55	0	2.29
2	34	1	6	13991	3.55	0	2.29
2	35	1	6	13991	3.55	0	2.29
2	36	1	7	12830	3.56	0	2.26
2	37	1	11	14864	3.64	0	2.38
2	38	1	18	13098	1.74	.78	1.12
2	39	1	6	12142	3.53	0	2.29
2	40	1	5	11470	3.61	0	2.32
2	41	1	13	15714	3.54	0	2.29
2	42	1	10	12279	3.57	0	2.32
2	43	1	12	14280	3.59	0	2.33
2	44	1	8	13674	3.52	0	2.27
2	45	1	11	14360	3.58	0	2.32
2	46	1	8	13736	3.63	0	2.37
2	47	1	11	13041	3.58	0	2.32
2	48	1	15	14148	3.54	0	2.26
2	1	2	11	14181	4.82	0	3.43
2	2	2	10	13965	4.73	.2	3.32
2	3	2	5	13538	4.91	0	3.34
2	4	2	6	13735	4.91	0	3.32
2	5	2	7	13735	4.82	0	3.33
2	6	2	15	14553	4.82	0	3.39
2	7	2	10	14229	4.93	0	3.46
2	8	2	15	13890	5	0	3.43
2	9	2	15	13890	5	0	3.43
2	10	2	9	15164	4.85	0	3.4
2	11	2	10	14136	4.91	0	3.4
2	12	2	16	14561	4.88	0	3.59
2	13	2	14	14692	4.9	0	3.46
2	14	2	14	15758	5.28	0	3.54
2	15	2	12	14936	5.16	0	3.63
2	16	2	14	15714	4.78	0	3.67
2	17	2	19	16886	4.67	.74	3.7
