store	nwhite	educ	income
2	.1382256	.2489349	10.55321
5	.0911702	.3212257	10.92237
8	.0459969	.0951733	10.59701
9	.1299819	.2221723	10.78715
12	.4953318	.253413	9.996659
14	.1203502	.348293	11.04393
18	.0895675	.0722465	10.39198
21	.1633634	.1775035	10.71619
28	.0965281	.2331626	10.79853
32	.0526046	.1982599	10.67447
33	.1704708	.419688	10.34593
40	.056534	.0721286	10.55025
44	.053481	.3297384	10.86916
45	.1296547	.2801502	10.74538
47	.1659793	.1405987	10.63533
48	.1744655	.3032604	10.75603
49	.0991849	.31995	10.80675
50	.089988	.1287643	10.58931
51	.0425719	.1719167	10.62084
52	.1375667	.3729273	11.05102
53	.20305	.2703835	10.6
54	.1008991	.4211257	10.9109
56	.0763398	.2375507	10.83183
59	.035765	.2330361	10.71504
62	.078971	.5177603	11.2362
64	.1075805	.1608213	10.60582
67	.1170323	.2843947	10.79696
68	.3792154	.1597215	10.18837
70	.1751592	.1656696	10.41235
71	.1007916	.1595881	10.40484
72	.2049952	.2687246	10.71219
73	.1195238	.073054	10.61497
74	.0615682	.0711978	10.48002
75	.5623832	.2195484	9.867083
76	.4636889	.0877118	10.14061
77	.1164417	.3768711	10.98312
78	.1356198	.3144323	10.95918
80	.0743651	.3044657	10.90951
81	.1412436	.2342016	10.71994
83	.1165314	.1459849	10.45608
84	.0578798	.1880943	10.76562
86	.4650847	.0967639	10.08897
88	.19086	.1516328	10.5498
89	.3687662	.0533494	10.30812
90	.2716437	.0501935	10.50466
91	.0352289	.1443101	10.53845
92	.3969902	.2701266	10.6578
93	.3933606	.3630164	10.36719
94	.1278008	.2293904	10.74452
95	.1264878	.0856421	10.38347
97	.2425142	.1781828	10.48375
98	.1769753	.0517028	10.5736
100	.6128051	.0495503	10.03658
101	.1275106	.1747419	10.65994
102	.1787305	.1206575	10.49385
103	.2277402	.1946211	10.58525
104	.0504561	.2496845	10.69885
105	.3915037	.0942356	10.41439
106	.202521	.1579393	10.50685
107	.064476	.2730519	10.82713
109	.0894842	.4769167	11.2332
110	.1748391	.1675532	10.52086
111	.9949654	.0969289	10.13828
112	.1144205	.3298985	10.88266
113	.0472684	.1515924	10.64766
114	.4478772	.0944245	10.34795
115	.09486	.4063125	10.94748
116	.0546229	.2592247	10.69711
117	.1149556	.2490835	10.76096
118	.1785874	.2247259	10.63236
119	.0928524	.279952	10.75272
121	.102167	.3506129	10.94993
122	.145527	.2558891	10.77505
123	.3951605	.1531915	10.3341
