"","crim","zn","indus","chas","nox","rm","age","dis","rad","tax","ptratio","black","lstat","medv"
"1",0.00632,18,2.31,0,5.38,6.575,65.2,4.09,1,296,15.3,0.3969,0.0498,24
"2",0.02731,0,7.07,0,4.69,6.421,78.9,4.9671,2,242,17.8,0.3969,0.0914,21.6
"3",0.02729,0,7.07,0,4.69,7.185,61.1,4.9671,2,242,17.8,0.39283,0.0403,34.7
"4",0.03237,0,2.18,0,4.58,6.998,45.8,6.0622,3,222,18.7,0.39463,0.0294,33.4
"5",0.06905,0,2.18,0,4.58,7.147,54.2,6.0622,3,222,18.7,0.3969,0.0533,36.2
"6",0.02985,0,2.18,0,4.58,6.43,58.7,6.0622,3,222,18.7,0.39412,0.0521,28.7
"7",0.08829,12.5,7.87,0,5.24,6.012,66.6,5.5605,5,311,15.2,0.3956,0.1243,22.9
"8",0.14455,12.5,7.87,0,5.24,6.172,96.1,5.9505,5,311,15.2,0.3969,0.1915,27.1
"9",0.21124,12.5,7.87,0,5.24,5.631,100,6.0821,5,311,15.2,0.38663,0.2993,16.5
"10",0.17004,12.5,7.87,0,5.24,6.004,85.9,6.5921,5,311,15.2,0.38671,0.171,18.9
"11",0.22489,12.5,7.87,0,5.24,6.377,94.3,6.3467,5,311,15.2,0.39252,0.2045,15
"12",0.11747,12.5,7.87,0,5.24,6.009,82.9,6.2267,5,311,15.2,0.3969,0.1327,18.9
"13",0.09378,12.5,7.87,0,5.24,5.889,39,5.4509,5,311,15.2,0.3905,0.1571,21.7
"14",0.62976,0,8.14,0,5.38,5.949,61.8,4.7075,4,307,21,0.3969,0.0826,20.4
"15",0.63796,0,8.14,0,5.38,6.096,84.5,4.4619,4,307,21,0.38002,0.1026,18.2
"16",0.62739,0,8.14,0,5.38,5.834,56.5,4.4986,4,307,21,0.39562,0.0847,19.9
"17",1.05393,0,8.14,0,5.38,5.935,29.3,4.4986,4,307,21,0.38685,0.0658,23.1
"18",0.7842,0,8.14,0,5.38,5.99,81.7,4.2579,4,307,21,0.38675,0.1467,17.5
"19",0.80271,0,8.14,0,5.38,5.456,36.6,3.7965,4,307,21,0.28899,0.1169,20.2
"20",0.7258,0,8.14,0,5.38,5.727,69.5,3.7965,4,307,21,0.39095,0.1128,18.2
"21",1.25179,0,8.14,0,5.38,5.57,98.1,3.7979,4,307,21,0.37657,0.2102,13.6
"22",0.85204,0,8.14,0,5.38,5.965,89.2,4.0123,4,307,21,0.39253,0.1383,19.6
"23",1.23247,0,8.14,0,5.38,6.142,91.7,3.9769,4,307,21,0.3969,0.1872,15.2
"24",0.98843,0,8.14,0,5.38,5.813,100,4.0952,4,307,21,0.39454,0.1988,14.5
"25",0.75026,0,8.14,0,5.38,5.924,94.1,4.3996,4,307,21,0.39433,0.163,15.6
"26",0.84054,0,8.14,0,5.38,5.599,85.7,4.4546,4,307,21,0.30342,0.1651,13.9
"27",0.67191,0,8.14,0,5.38,5.813,90.3,4.682,4,307,21,0.37688,0.1481,16.6
"28",0.95577,0,8.14,0,5.38,6.047,88.8,4.4534,4,307,21,0.30638,0.1728,14.8
"29",0.77299,0,8.14,0,5.38,6.495,94.4,4.4547,4,307,21,0.38794,0.128,18.4
"30",1.00245,0,8.14,0,5.38,6.674,87.3,4.239,4,307,21,0.38023,0.1198,21
"31",1.13081,0,8.14,0,5.38,5.713,94.1,4.233,4,307,21,0.36017,0.226,12.7
"32",1.35472,0,8.14,0,5.38,6.072,100,4.175,4,307,21,0.37673,0.1304,14.5
"33",1.38799,0,8.14,0,5.38,5.95,82,3.99,4,307,21,0.2326,0.2771,13.2
"34",1.15172,0,8.14,0,5.38,5.701,95,3.7872,4,307,21,0.35877,0.1835,13.1
"35",1.61282,0,8.14,0,5.38,6.096,96.9,3.7598,4,307,21,0.24831,0.2034,13.5
"36",0.06417,0,5.96,0,4.99,5.933,68.2,3.3603,5,279,19.2,0.3969,0.0968,18.9
"37",0.09744,0,5.96,0,4.99,5.841,61.4,3.3779,5,279,19.2,0.37756,0.1141,20
"38",0.08014,0,5.96,0,4.99,5.85,41.5,3.9342,5,279,19.2,0.3969,0.0877,21
"39",0.17505,0,5.96,0,4.99,5.966,30.2,3.8473,5,279,19.2,0.39343,0.1013,24.7
"40",0.02763,75,2.95,0,4.28,6.595,21.8,5.4011,3,252,18.3,0.39563,0.0432,30.8
"41",0.03359,75,2.95,0,4.28,7.024,15.8,5.4011,3,252,18.3,0.39562,0.0198,34.9
"42",0.12744,0,6.91,0,4.48,6.77,2.9,5.7209,3,233,17.9,0.38541,0.0484,26.6
"43",0.1415,0,6.91,0,4.48,6.169,6.6,5.7209,3,233,17.9,0.38337,0.0581,25.3
"44",0.15936,0,6.91,0,4.48,6.211,6.5,5.7209,3,233,17.9,0.39446,0.0744,24.7
"45",0.12269,0,6.91,0,4.48,6.069,40,5.7209,3,233,17.9,0.38939,0.0955,21.2
"46",0.17142,0,6.91,0,4.48,5.682,33.8,5.1004,3,233,17.9,0.3969,0.1021,19.3
"47",0.18836,0,6.91,0,4.48,5.786,33.3,5.1004,3,233,17.9,0.3969,0.1415,20
"48",0.22927,0,6.91,0,4.48,6.03,85.5,5.6894,3,233,17.9,0.39274,0.188,16.6
"49",0.25387,0,6.91,0,4.48,5.399,95.3,5.87,3,233,17.9,0.3969,0.3081,14.4
"50",0.21977,0,6.91,0,4.48,5.602,62,6.0877,3,233,17.9,0.3969,0.162,19.4
"51",0.08873,21,5.64,0,4.39,5.963,45.7,6.8147,4,243,16.8,0.39556,0.1345,19.7
"52",0.04337,21,5.64,0,4.39,6.115,63,6.8147,4,243,16.8,0.39397,0.0943,20.5
"53",0.0536,21,5.64,0,4.39,6.511,21.1,6.8147,4,243,16.8,0.3969,0.0528,25
"54",0.04981,21,5.64,0,4.39,5.998,21.4,6.8147,4,243,16.8,0.3969,0.0843,23.4
"55",0.0136,75,4,0,4.1,5.888,47.6,7.3197,3,469,21.1,0.3969,0.148,18.9
"56",0.01311,90,1.22,0,4.03,7.249,21.9,8.6966,5,226,17.9,0.39593,0.0481,35.4
"57",0.02055,85,0.74,0,4.1,6.383,35.7,9.1876,2,313,17.3,0.3969,0.0577,24.7
"58",0.01432,100,1.32,0,4.11,6.816,40.5,8.3248,5,256,15.1,0.3929,0.0395,31.6
"59",0.15445,25,5.13,0,4.53,6.145,29.2,7.8148,8,284,19.7,0.39068,0.0686,23.3
"60",0.10328,25,5.13,0,4.53,5.927,47.2,6.932,8,284,19.7,0.3969,0.0922,19.6
"61",0.14932,25,5.13,0,4.53,5.741,66.2,7.2254,8,284,19.7,0.39511,0.1315,18.7
"62",0.17171,25,5.13,0,4.53,5.966,93.4,6.8185,8,284,19.7,0.37808,0.1444,16
"63",0.11027,25,5.13,0,4.53,6.456,67.8,7.2255,8,284,19.7,0.3969,0.0673,22.2
"64",0.1265,25,5.13,0,4.53,6.762,43.4,7.9809,8,284,19.7,0.39558,0.095,25
"65",0.01951,17.5,1.38,0,4.161,7.104,59.5,9.2229,3,216,18.6,0.39324,0.0805,33
"66",0.03584,80,3.37,0,3.98,6.29,17.8,6.6115,4,337,16.1,0.3969,0.0467,23.5
"67",0.04379,80,3.37,0,3.98,5.787,31.1,6.6115,4,337,16.1,0.3969,0.1024,19.4
"68",0.05789,12.5,6.07,0,4.09,5.878,21.4,6.498,4,345,18.9,0.39621,0.081,22
"69",0.13554,12.5,6.07,0,4.09,5.594,36.8,6.498,4,345,18.9,0.3969,0.1309,17.4
"70",0.12816,12.5,6.07,0,4.09,5.885,33,6.498,4,345,18.9,0.3969,0.0879,20.9
"71",0.08826,0,10.81,0,4.13,6.417,6.6,5.2873,4,305,19.2,0.38373,0.0672,24.2
"72",0.15876,0,10.81,0,4.13,5.961,17.5,5.2873,4,305,19.2,0.37694,0.0988,21.7
"73",0.09164,0,10.81,0,4.13,6.065,7.8,5.2873,4,305,19.2,0.39091,0.0552,22.8
"74",0.19539,0,10.81,0,4.13,6.245,6.2,5.2873,4,305,19.2,0.37717,0.0754,23.4
"75",0.07896,0,12.83,0,4.37,6.273,6,4.2515,5,398,18.7,0.39492,0.0678,24.1
"76",0.09512,0,12.83,0,4.37,6.286,45,4.5026,5,398,18.7,0.38323,0.0894,21.4
"77",0.10153,0,12.83,0,4.37,6.279,74.5,4.0522,5,398,18.7,0.37366,0.1197,20
"78",0.08707,0,12.83,0,4.37,6.14,45.8,4.0905,5,398,18.7,0.38696,0.1027,20.8
"79",0.05646,0,12.83,0,4.37,6.232,53.7,5.0141,5,398,18.7,0.3864,0.1234,21.2
"80",0.08387,0,12.83,0,4.37,5.874,36.6,4.5026,5,398,18.7,0.39606,0.091,20.3
"81",0.04113,25,4.86,0,4.26,6.727,33.5,5.4007,4,281,19,0.3969,0.0529,28
"82",0.04462,25,4.86,0,4.26,6.619,70.4,5.4007,4,281,19,0.39563,0.0722,23.9
"83",0.03659,25,4.86,0,4.26,6.302,32.2,5.4007,4,281,19,0.3969,0.0672,24.8
"84",0.03551,25,4.86,0,4.26,6.167,46.7,5.4007,4,281,19,0.39064,0.0751,22.9
"85",0.05059,0,4.49,0,4.49,6.389,48,4.7794,3,247,18.5,0.3969,0.0962,23.9
"86",0.05735,0,4.49,0,4.49,6.63,56.1,4.4377,3,247,18.5,0.3923,0.0653,26.6
"87",0.05188,0,4.49,0,4.49,6.015,45.1,4.4272,3,247,18.5,0.39599,0.1286,22.5
"88",0.07151,0,4.49,0,4.49,6.121,56.8,3.7476,3,247,18.5,0.39515,0.0844,22.2
"89",0.0566,0,3.41,0,4.89,7.007,86.3,3.4217,2,270,17.8,0.3969,0.055,23.6
"90",0.05302,0,3.41,0,4.89,7.079,63.1,3.4145,2,270,17.8,0.39606,0.057,28.7
"91",0.04684,0,3.41,0,4.89,6.417,66.1,3.0923,2,270,17.8,0.39218,0.0881,22.6
"92",0.03932,0,3.41,0,4.89,6.405,73.9,3.0921,2,270,17.8,0.39355,0.082,22
"93",0.04203,28,15.04,0,4.64,6.442,53.6,3.6659,4,270,18.2,0.39501,0.0816,22.9
"94",0.02875,28,15.04,0,4.64,6.211,28.9,3.6659,4,270,18.2,0.39633,0.0621,25
"95",0.04294,28,15.04,0,4.64,6.249,77.3,3.615,4,270,18.2,0.3969,0.1059,20.6
"96",0.12204,0,2.89,0,4.45,6.625,57.8,3.4952,2,276,18,0.35798,0.0665,28.4
"97",0.11504,0,2.89,0,4.45,6.163,69.6,3.4952,2,276,18,0.39183,0.1134,21.4
"98",0.12083,0,2.89,0,4.45,8.069,76,3.4952,2,276,18,0.3969,0.0421,38.7
"99",0.08187,0,2.89,0,4.45,7.82,36.9,3.4952,2,276,18,0.39353,0.0357,43.8
"100",0.0686,0,2.89,0,4.45,7.416,62.5,3.4952,2,276,18,0.3969,0.0619,33.2
"101",0.14866,0,8.56,0,5.2,6.727,79.9,2.7778,5,384,20.9,0.39476,0.0942,27.5
"102",0.11432,0,8.56,0,5.2,6.781,71.3,2.8561,5,384,20.9,0.39558,0.0767,26.5
