hour,lmp,year,month,day,temp,hrank
18,82.36,2010,1,1,34.3,1
19,76.47,2010,1,1,33.7,2
21,74.16,2010,1,1,32.6,3
17,73.93,2010,1,1,35.2,4
22,73.18,2010,1,1,32,5
2,70.87,2010,1,1,30.3,6
20,65.19,2010,1,1,33.2,7
23,64.62,2010,1,1,31.5,8
4,61.35,2010,1,1,29.8,9
15,58.81,2010,1,1,35.9,10
24,58.8,2010,1,1,31,11
12,58.7,2010,1,1,33.2,12
14,58.54,2010,1,1,35.3,13
13,57.31,2010,1,1,34.5,14
3,56.15,2010,1,1,30,15
16,55.8,2010,1,1,35.8,16
11,55.53,2010,1,1,32,17
5,54.19,2010,1,1,29.5,18
10,48.4,2010,1,1,30.7,19
6,42.32,2010,1,1,29.3,20
9,42.19,2010,1,1,29.5,21
7,40.43,2010,1,1,29.3,22
8,32.33,2010,1,1,29.2,23
18,134.88,2010,1,2,34.2,1
19,107.57,2010,1,2,33.5,2
22,105,2010,1,2,31.8,3
20,98.43,2010,1,2,33,4
21,96.8,2010,1,2,32.4,5
23,91.47,2010,1,2,31.3,6
17,89.92,2010,1,2,35,7
13,73.88,2010,1,2,34.2,8
12,71.14,2010,1,2,33,9
24,70.27,2010,1,2,30.9,10
11,67.57,2010,1,2,31.7,11
10,64.08,2010,1,2,30.4,12
16,64.03,2010,1,2,35.6,13
9,64,2010,1,2,29.3,14
14,63.62,2010,1,2,35.1,15
8,61.66,2010,1,2,28.9,16
15,60.92,2010,1,2,35.6,17
3,51.15,2010,1,2,29.7,18
4,50.06,2010,1,2,29.5,19
2,48.69,2010,1,2,30,20
7,47.3,2010,1,2,29,21
1,42.85,2010,1,2,29.9,22
6,36.17,2010,1,2,29,23
5,33.41,2010,1,2,29.2,24
11,274.35,2010,1,3,31.5,1
12,228.54,2010,1,3,32.7,2
13,210.54,2010,1,3,34,3
3,195.6,2010,1,3,29.5,4
10,193.74,2010,1,3,30.1,5
9,186.68,2010,1,3,29,6
17,179.07,2010,1,3,34.8,7
4,168.28,2010,1,3,29.3,8
7,148.58,2010,1,3,28.8,9
14,123.32,2010,1,3,34.9,10
8,120.73,2010,1,3,28.7,11
20,111.35,2010,1,3,32.8,12
5,104.91,2010,1,3,29,13
19,100.35,2010,1,3,33.3,14
18,95.94,2010,1,3,34,15
15,95.54,2010,1,3,35.4,16
2,94.57,2010,1,3,29.9,17
21,89.03,2010,1,3,32.2,18
16,87.4,2010,1,3,35.4,19
6,86.69,2010,1,3,28.8,20
1,83.04,2010,1,3,29.7,21
22,61.22,2010,1,3,31.6,22
23,59.68,2010,1,3,31.1,23
24,59.01,2010,1,3,30.7,24
6,231.49,2010,1,4,28.7,1
7,152.97,2010,1,4,28.6,2
1,140.13,2010,1,4,29.7,3
18,138.83,2010,1,4,33.9,4
9,129.02,2010,1,4,28.9,5
19,128.73,2010,1,4,33.2,6
3,124.33,2010,1,4,29.4,7
8,121.48,2010,1,4,28.6,8
10,113.92,2010,1,4,30,9
20,110.94,2010,1,4,32.7,10
11,108.92,2010,1,4,31.3,11
2,107.42,2010,1,4,29.7,12
12,104.68,2010,1,4,32.6,13
17,102.61,2010,1,4,34.7,14
4,93.07,2010,1,4,29.1,15
22,88.93,2010,1,4,31.5,16
21,86.12,2010,1,4,32.1,17
5,85.82,2010,1,4,28.9,18
13,84.68,2010,1,4,33.8,19
14,76.54,2010,1,4,34.7,20
16,76.3,2010,1,4,35.3,21
15,72.27,2010,1,4,35.3,22
23,67.51,2010,1,4,31,23
24,59.57,2010,1,4,30.6,24
7,113.87,2010,1,5,28.4,1
18,98.49,2010,1,5,33.6,2
8,96.67,2010,1,5,28.3,3
12,96.05,2010,1,5,32.3,4
13,92.5,2010,1,5,33.6,5
20,91.61,2010,1,5,32.4,6
11,90.35,2010,1,5,31.1,7
17,90.22,2010,1,5,34.5,8
19,89.66,2010,1,5,32.9,9
10,89.66,2010,1,5,29.8,10
9,88.41,2010,1,5,28.7,11
14,85.12,2010,1,5,34.4,12
5,85.04,2010,1,5,28.7,13
21,83.96,2010,1,5,31.7,14
22,82.13,2010,1,5,31.2,15
15,79.87,2010,1,5,35,16
6,78.64,2010,1,5,28.5,17
16,77.3,2010,1,5,35,18
4,75.82,2010,1,5,29,19
1,75.8,2010,1,5,29.5,20
23,74.88,2010,1,5,30.7,21
3,68.78,2010,1,5,29.2,22
24,66.42,2010,1,5,30.2,23
2,52.88,2010,1,5,29.6,24
7,87.18,2010,1,6,28.2,1
18,81.11,2010,1,6,33.5,2
8,80.47,2010,1,6,28.1,3
19,79.95,2010,1,6,32.8,4
11,79.37,2010,1,6,30.9,5
10,78.67,2010,1,6,29.5,6
20,77.56,2010,1,6,32.2,7
9,77.5,2010,1,6,28.4,8
12,75.37,2010,1,6,32.1,9
21,74.8,2010,1,6,31.5,10
17,73.24,2010,1,6,34.4,11
22,72.94,2010,1,6,30.9,12
1,64.06,2010,1,6,29.1,13
13,61.49,2010,1,6,33.4,14
16,54.67,2010,1,6,34.9,15
6,49.69,2010,1,6,28.3,16
15,46.71,2010,1,6,34.9,17
5,44.93,2010,1,6,28.4,18
2,44.48,2010,1,6,29.3,19
14,39.09,2010,1,6,34.3,20
4,38.53,2010,1,6,28.7,21
3,33.63,2010,1,6,28.9,22
23,29.99,2010,1,6,30.4,23
24,22.81,2010,1,6,29.9,24
8,76.12,2010,1,7,27.6,1
7,75.98,2010,1,7,27.7,2
18,74.63,2010,1,7,33.2,3
20,74.29,2010,1,7,31.9,4
19,72.35,2010,1,7,32.5,5
10,70.99,2010,1,7,29.1,6
21,69.98,2010,1,7,31.3,7
12,69.9,2010,1,7,31.7,8
9,69.64,2010,1,7,28,9
11,68.71,2010,1,7,30.5,10
22,68.2,2010,1,7,30.7,11
3,66.17,2010,1,7,28.6,12
13,62.28,2010,1,7,32.9,13
17,61.44,2010,1,7,34.1,14
2,54.92,2010,1,7,29,15
6,47.8,2010,1,7,27.9,16
14,46.16,2010,1,7,33.9,17
24,38.27,2010,1,7,29.7,18
1,37.31,2010,1,7,28.5,19
4,32.08,2010,1,7,28.4,20
16,31.83,2010,1,7,34.6,21
23,31.41,2010,1,7,30.2,22
15,30.79,2010,1,7,34.5,23
5,29.37,2010,1,7,28.1,24
18,79.94,2010,1,8,32.9,1
19,76.61,2010,1,8,32.2,2
9,76.26,2010,1,8,27.8,3
11,75.58,2010,1,8,30.3,4
8,75.28,2010,1,8,27.5,5
10,74.63,2010,1,8,28.9,6
17,74.41,2010,1,8,33.8,7
12,73.96,2010,1,8,31.5,8
20,73.43,2010,1,8,31.6,9
13,70.9,2010,1,8,32.6,10
24,70.68,2010,1,8,29.3,11
14,69.36,2010,1,8,33.6,12
21,68.65,2010,1,8,30.9,13
7,66.99,2010,1,8,27.6,14
15,65.41,2010,1,8,34.2,15
23,64.74,2010,1,8,29.8,16
16,59.84,2010,1,8,34.3,17
22,59.09,2010,1,8,30.3,18
1,50.14,2010,1,8,28.2,19
4,42.72,2010,1,8,28.1,20
3,41.53,2010,1,8,28.3,21
6,39.46,2010,1,8,27.7,22
2,35.58,2010,1,8,28.7,23
5,32.75,2010,1,8,27.9,24
18,113.67,2010,1,9,32.7,1
21,102.56,2010,1,9,30.7,2
20,99.6,2010,1,9,31.4,3
19,94.81,2010,1,9,32,4
12,93.6,2010,1,9,31.1,5
17,85.01,2010,1,9,33.6,6
11,84.87,2010,1,9,30,7
22,84.54,2010,1,9,30.1,8
13,77.52,2010,1,9,32.3,9
10,76.93,2010,1,9,28.6,10
8,75.13,2010,1,9,27.1,11
24,74.91,2010,1,9,29,12
9,73.28,2010,1,9,27.5,13
23,72.92,2010,1,9,29.5,14
14,72.56,2010,1,9,33.3,15
15,61.95,2010,1,9,34,16
1,61.37,2010,1,9,27.9,17
16,59.96,2010,1,9,34.1,18
7,56.54,2010,1,9,27.2,19
3,44.6,2010,1,9,28,20
2,40.4,2010,1,9,28.4,21
5,38.73,2010,1,9,27.5,22
4,38.67,2010,1,9,27.8,23
6,32.79,2010,1,9,27.3,24
18,98.97,2010,1,10,32.5,1
20,93.43,2010,1,10,31.2,2
19,92.13,2010,1,10,31.8,3
11,87.77,2010,1,10,29.6,4
17,86.33,2010,1,10,33.3,5
21,86.05,2010,1,10,30.5,6
13,84.52,2010,1,10,32.1,7
12,77.44,2010,1,10,30.9,8
10,76.72,2010,1,10,28.3,9
14,73.11,2010,1,10,33,10
22,72.74,2010,1,10,29.9,11
9,72.49,2010,1,10,27.1,12
5,71.01,2010,1,10,27.2,13
15,69.7,2010,1,10,33.6,14
16,69.52,2010,1,10,33.8,15
24,69.1,2010,1,10,28.9,16
8,69.03,2010,1,10,26.8,17
4,68.71,2010,1,10,27.5,18
23,67.38,2010,1,10,29.4,19
7,65.86,2010,1,10,26.9,20
1,58.1,2010,1,10,27.7,21
6,55.38,2010,1,10,27,22
2,46.41,2010,1,10,28.1,23
3,43.87,2010,1,10,27.7,24
7,110.54,2010,1,11,26.6,1
8,105.66,2010,1,11,26.5,2
9,102.96,2010,1,11,26.8,3
10,102.7,2010,1,11,27.9,4
19,100.51,2010,1,11,31.6,5
12,100.44,2010,1,11,30.6,6
18,100.29,2010,1,11,32.3,7
11,100.21,2010,1,11,29.3,8
20,97.04,2010,1,11,31,9
21,86.96,2010,1,11,30.3,10
13,85.34,2010,1,11,31.8,11
6,84.79,2010,1,11,26.8,12
17,83.23,2010,1,11,33.1,13
14,75.67,2010,1,11,32.7,14
15,75.65,2010,1,11,33.4,15
22,74.79,2010,1,11,29.7,16
16,72.21,2010,1,11,33.5,17
1,71.08,2010,1,11,27.5,18
5,70.52,2010,1,11,26.9,19
23,59.21,2010,1,11,29.1,20
2,51.13,2010,1,11,27.9,21
3,50.26,2010,1,11,27.5,22
4,49.51,2010,1,11,27.2,23
24,38.33,2010,1,11,28.5,24
19,85.92,2010,1,12,31.4,1
18,82.15,2010,1,12,32.1,2
20,78.05,2010,1,12,30.8,3
7,68.33,2010,1,12,26.3,4
21,63.82,2010,1,12,30,5
8,61.9,2010,1,12,26.2,6
22,61.27,2010,1,12,29.5,7
10,58.32,2010,1,12,27.7,8
13,57.52,2010,1,12,31.5,9
17,57.36,2010,1,12,32.9,10
12,57.29,2010,1,12,30.3,11
11,57.02,2010,1,12,29.1,12
9,56.99,2010,1,12,26.6,13
14,55.05,2010,1,12,32.5,14
15,52.3,2010,1,12,33.1,15
23,51.72,2010,1,12,28.9,16
16,49,2010,1,12,33.3,17
1,46.65,2010,1,12,27.1,18
5,45.9,2010,1,12,26.6,19
4,45.12,2010,1,12,26.8,20
6,44.15,2010,1,12,26.4,21
24,43.76,2010,1,12,28.3,22
2,40.59,2010,1,12,27.5,23
3,21.07,2010,1,12,27.1,24
7,66.32,2010,1,13,26,1
9,66.2,2010,1,13,26.3,2
10,62.81,2010,1,13,27.4,3
11,61.81,2010,1,13,28.8,4
20,60.75,2010,1,13,30.5,5
18,60.32,2010,1,13,31.8,6
19,59.84,2010,1,13,31.1,7
21,59.59,2010,1,13,29.8,8
8,59.49,2010,1,13,25.9,9
17,58.03,2010,1,13,32.7,10
12,57.79,2010,1,13,30.1,11
13,55.25,2010,1,13,31.3,12
14,54.49,2010,1,13,32.2,13
22,53.52,2010,1,13,29.2,14
15,53.18,2010,1,13,32.9,15
16,50.73,2010,1,13,33.1,16
1,45.78,2010,1,13,26.8,17
23,45.69,2010,1,13,28.6,18
3,44.19,2010,1,13,26.9,19
24,44,2010,1,13,28,20
4,43.78,2010,1,13,26.6,21
5,43.77,2010,1,13,26.3,22
2,43.71,2010,1,13,27.3,23
6,43.47,2010,1,13,26.1,24
7,75.13,2010,1,14,25.5,1
8,74.56,2010,1,14,25.4,2
19,64.7,2010,1,14,30.6,3
21,62.09,2010,1,14,29.3,4
10,61.58,2010,1,14,26.9,5
18,61.27,2010,1,14,31.3,6
9,61.16,2010,1,14,25.9,7
20,58.7,2010,1,14,30,8
22,54.42,2010,1,14,28.6,9
11,51.99,2010,1,14,28.3,10
14,48.29,2010,1,14,31.8,11
17,48.14,2010,1,14,32.2,12
13,48.1,2010,1,14,30.8,13
12,47.85,2010,1,14,29.6,14
16,46.65,2010,1,14,32.6,15
6,46.62,2010,1,14,25.7,16
15,46.08,2010,1,14,32.4,17
23,45.79,2010,1,14,28,18
3,45.62,2010,1,14,26.5,19
5,44.81,2010,1,14,25.9,20
4,44.72,2010,1,14,26.2,21
